Pokemon,Type,Height,Weight,Abilities,HP Base,HP Min,HP Max,Attack Base,Attack Min,Attack Max,Defense Base,Defense Min,Defense Max,Special Attack Base,Special Attack Min,Special Attack Max,Special Defense Base,Special Defense Min,Special Defense Max,Speed Base,Speed Min,Speed Max,Simplified Type,image_path
Dusclops,['Ghost'],1.6,30.6,"['Pressure, Frisk (hidden ability)']",40,190,284,70,130,262,130,238,394,60,112,240,130,238,394,25,49,163,Ghost,/content/Pokemon Images DB/Pokemon Images DB/Dusclops/Dusclops.png
Dusknoir,['Ghost'],2.2,106.6,"['Pressure, Frisk (hidden ability)']",45,200,294,100,184,328,135,247,405,65,121,251,135,247,405,45,85,207,Ghost,/content/Pokemon Images DB/Pokemon Images DB/Dusknoir/Dusknoir.png
Duskull,['Ghost'],0.8,15.0,"['Levitate, Frisk (hidden ability)']",20,150,244,40,76,196,90,166,306,30,58,174,90,166,306,25,49,163,Ghost,/content/Pokemon Images DB/Pokemon Images DB/Duskull/Duskull.png
Dustox,"['Bug', 'Poison']",1.2,31.6,"['Shield Dust, Compound Eyes (hidden ability)']",60,230,324,50,94,218,70,130,262,50,94,218,90,166,306,65,121,251,Bug,/content/Pokemon Images DB/Pokemon Images DB/Dustox/Dustox.png
Dwebble,"['Bug', 'Rock']",0.3,14.5,"['Sturdy', 'Shell Armor, Weak Armor (hidden ability)']",50,210,304,65,121,251,85,157,295,35,67,185,35,67,185,55,103,229,Bug,/content/Pokemon Images DB/Pokemon Images DB/Dwebble/Dwebble.png
Eelektrik,['Electric'],1.2,22.0,['Levitate'],65,240,334,85,157,295,70,130,262,75,139,273,70,130,262,40,76,196,Electric,/content/Pokemon Images DB/Pokemon Images DB/Eelektrik/Eelektrik.png
Eelektross,['Electric'],2.1,80.5,['Levitate'],85,280,374,115,211,361,80,148,284,105,193,339,80,148,284,50,94,218,Electric,/content/Pokemon Images DB/Pokemon Images DB/Eelektross/Eelektross.png
Eevee,['Normal'],0.3,6.5,"['Run Away', 'Adaptability, Anticipation (hidden ability)']",55,220,314,55,103,229,50,94,218,45,85,207,65,121,251,55,103,229,Normal,/content/Pokemon Images DB/Pokemon Images DB/Eevee/Eevee.png
Eiscue Ice Face,['Ice'],1.4,89.0,['Ice Face'],75,260,354,80,148,284,110,202,350,65,121,251,90,166,306,50,94,218,Ice,/content/Pokemon Images DB/Pokemon Images DB/Eiscue (Ice Face)/Eiscue (Ice Face).png
Eiscue Noice Face,['Ice'],1.4,89.0,['Ice Face'],75,260,354,80,148,284,70,130,262,65,121,251,50,94,218,130,238,394,Ice,/content/Pokemon Images DB/Pokemon Images DB/Eiscue (Noice Face)/Eiscue (Noice Face).png
Ekans,['Poison'],2.0,6.9,"['Intimidate', 'Shed Skin, Unnerve (hidden ability)']",35,180,274,60,112,240,44,83,205,40,76,196,54,101,227,55,103,229,Poison,/content/Pokemon Images DB/Pokemon Images DB/Ekans/Ekans.png
Eldegoss,['Grass'],0.5,2.5,"['Cotton Down', 'Regenerator, Effect Spore (hidden ability)']",60,230,324,50,94,218,90,166,306,80,148,284,120,220,372,60,112,240,Grass,/content/Pokemon Images DB/Pokemon Images DB/Eldegoss/Eldegoss.png
Electabuzz,['Electric'],1.1,30.0,"['Static, Vital Spirit (hidden ability)']",65,240,334,83,153,291,57,107,234,95,175,317,85,157,295,105,193,339,Electric,/content/Pokemon Images DB/Pokemon Images DB/Electabuzz/Electabuzz.png
Electivire,['Electric'],1.8,138.6,"['Motor Drive, Vital Spirit (hidden ability)']",75,260,354,123,225,379,67,125,256,95,175,317,85,157,295,95,175,317,Electric,/content/Pokemon Images DB/Pokemon Images DB/Electivire/Electivire.png
Electrike,['Electric'],0.6,15.2,"['Static', 'Lightning Rod, Minus (hidden ability)']",40,190,284,45,85,207,40,76,196,65,121,251,40,76,196,65,121,251,Electric,/content/Pokemon Images DB/Pokemon Images DB/Electrike/Electrike.png
Electrode,['Electric'],1.2,66.6,"['Soundproof', 'Static, Aftermath (hidden ability)']",60,230,324,50,94,218,70,130,262,80,148,284,80,148,284,150,274,438,Electric,/content/Pokemon Images DB/Pokemon Images DB/Electrode/Electrode.png
Hisuian Electrode,"['Electric', 'Grass']",1.2,71.0,"['Soundproof', 'Static, Aftermath (hidden ability)']",60,230,324,50,94,218,70,130,262,80,148,284,80,148,284,150,274,438,Electric,/content/Pokemon Images DB/Pokemon Images DB/Hisuian Electrode/Hisuian Electrode.png
Elekid,['Electric'],0.6,23.5,"['Static, Vital Spirit (hidden ability)']",45,200,294,63,117,247,37,71,190,65,121,251,55,103,229,95,175,317,Electric,/content/Pokemon Images DB/Pokemon Images DB/Elekid/Elekid.png
Elgyem,['Psychic'],0.5,9.0,"['Telepathy', 'Synchronize, Analytic (hidden ability)']",55,220,314,55,103,229,55,103,229,85,157,295,55,103,229,30,58,174,Psychic,/content/Pokemon Images DB/Pokemon Images DB/Elgyem/Elgyem.png
Emboar,"['Fire', 'Fighting']",1.6,150.0,"['Blaze, Reckless (hidden ability)']",110,330,424,123,225,379,65,121,251,100,184,328,65,121,251,65,121,251,Fire,/content/Pokemon Images DB/Pokemon Images DB/Emboar/Emboar.png
Emolga,"['Electric', 'Flying']",0.4,5.0,"['Static, Motor Drive (hidden ability)']",55,220,314,75,139,273,60,112,240,75,139,273,60,112,240,103,189,335,Electric,/content/Pokemon Images DB/Pokemon Images DB/Emolga/Emolga.png
Empoleon,"['Water', 'Steel']",1.7,84.5,"['Torrent, Defiant (hidden ability)']",84,278,372,86,159,298,88,162,302,111,204,353,101,186,331,60,112,240,Water,/content/Pokemon Images DB/Pokemon Images DB/Empoleon/Empoleon.png
Enamorus Incarnate Forme,"['Fairy', 'Flying']",1.6,48.0,"['Cute Charm, Contrary (hidden ability)']",74,258,352,115,211,361,70,130,262,135,247,405,80,148,284,106,195,342,Fairy,/content/Pokemon Images DB/Pokemon Images DB/Enamorus (Incarnate Forme)/Enamorus (Incarnate Forme).png
Enamorus Therian Forme,"['Fairy', 'Flying']",1.6,48.0,['Overcoat'],74,258,352,115,211,361,110,202,350,135,247,405,100,184,328,46,87,210,Fairy,/content/Pokemon Images DB/Pokemon Images DB/Enamorus (Therian Forme)/Enamorus (Therian Forme).png
Entei,['Fire'],2.1,198.0,"['Pressure, Inner Focus (hidden ability)']",115,340,434,115,211,361,85,157,295,90,166,306,75,139,273,100,184,328,Fire,/content/Pokemon Images DB/Pokemon Images DB/Entei/Entei.png
Escavalier,"['Bug', 'Steel']",1.0,33.0,"['Swarm', 'Shell Armor, Overcoat (hidden ability)']",70,250,344,135,247,405,105,193,339,60,112,240,105,193,339,20,40,152,Bug,/content/Pokemon Images DB/Pokemon Images DB/Escavalier/Escavalier.png
Espathra,['Psychic'],1.9,90.0,"['Opportunist', 'Frisk, Speed Boost (hidden ability)']",95,300,394,60,112,240,60,112,240,101,186,331,60,112,240,105,193,339,Psychic,/content/Pokemon Images DB/Pokemon Images DB/Espathra/Espathra.png
Espeon,['Psychic'],0.9,26.5,"['Synchronize, Magic Bounce (hidden ability)']",65,240,334,65,121,251,60,112,240,130,238,394,95,175,317,110,202,350,Psychic,/content/Pokemon Images DB/Pokemon Images DB/Espeon/Espeon.png
Espurr,['Psychic'],0.3,3.5,"['Keen Eye', 'Infiltrator, Own Tempo (hidden ability)']",62,234,328,48,90,214,54,101,227,63,117,247,60,112,240,68,126,258,Psychic,/content/Pokemon Images DB/Pokemon Images DB/Espurr/Espurr.png
Eternatus,"['Poison', 'Dragon']",20.0,950.0,['Pressure'],140,390,484,85,157,295,95,175,317,145,265,427,95,175,317,130,238,394,Poison,/content/Pokemon Images DB/Pokemon Images DB/Eternatus/Eternatus.png
Excadrill,"['Ground', 'Steel']",0.7,40.4,"['Sand Rush', 'Sand Force, Mold Breaker (hidden ability)']",110,330,424,135,247,405,60,112,240,50,94,218,65,121,251,88,162,302,Ground,/content/Pokemon Images DB/Pokemon Images DB/Excadrill/Excadrill.png
Exeggcute,"['Grass', 'Psychic']",0.4,2.5,"['Chlorophyll, Harvest (hidden ability)']",60,230,324,40,76,196,80,148,284,60,112,240,45,85,207,40,76,196,Grass,/content/Pokemon Images DB/Pokemon Images DB/Exeggcute/Exeggcute.png
Exeggutor,"['Grass', 'Psychic']",2.0,120.0,"['Chlorophyll, Harvest (hidden ability)']",95,300,394,95,175,317,85,157,295,125,229,383,75,139,273,55,103,229,Grass,/content/Pokemon Images DB/Pokemon Images DB/Exeggutor/Exeggutor.png
Alolan Exeggutor,"['Grass', 'Dragon']",10.9,415.6,"['Frisk, Harvest (hidden ability)']",95,300,394,105,193,339,85,157,295,125,229,383,75,139,273,45,85,207,Grass,/content/Pokemon Images DB/Pokemon Images DB/Alolan Exeggutor/Alolan Exeggutor.png
Exploud,['Normal'],1.5,84.0,"['Soundproof, Scrappy (hidden ability)']",104,318,412,91,168,309,63,117,247,91,168,309,73,135,269,68,126,258,Normal,/content/Pokemon Images DB/Pokemon Images DB/Exploud/Exploud.png
Falinks,['Fighting'],3.0,62.0,"['Battle Armor, Defiant (hidden ability)']",65,240,334,100,184,328,100,184,328,70,130,262,60,112,240,75,139,273,Fighting,/content/Pokemon Images DB/Pokemon Images DB/Falinks/Falinks.png
Farfetch'd,"['Normal', 'Flying']",0.8,15.0,"['Keen Eye', 'Inner Focus, Defiant (hidden ability)']",52,214,308,90,166,306,55,103,229,58,108,236,62,116,245,60,112,240,Normal,/content/Pokemon Images DB/Pokemon Images DB/Farfetch_d/Farfetch_d.png
Galarian Farfetch'd,['Fighting'],0.8,42.0,"['Steadfast, Scrappy (hidden ability)']",52,214,308,95,175,317,55,103,229,58,108,236,62,116,245,55,103,229,Fighting,/content/Pokemon Images DB/Pokemon Images DB/Galarian Farfetch_d/Galarian Farfetch_d.png
Farigiraf,"['Normal', 'Psychic']",3.2,160.0,"['Cud Chew', 'Armor Tail, Sap Sipper (hidden ability)']",120,350,444,90,166,306,70,130,262,110,202,350,70,130,262,60,112,240,Normal,/content/Pokemon Images DB/Pokemon Images DB/Farigiraf/Farigiraf.png
Fearow,"['Normal', 'Flying']",1.2,38.0,"['Keen Eye, Sniper (hidden ability)']",65,240,334,90,166,306,65,121,251,61,114,243,61,114,243,100,184,328,Normal,/content/Pokemon Images DB/Pokemon Images DB/Fearow/Fearow.png
Feebas,['Water'],0.6,7.4,"['Swift Swim', 'Oblivious, Adaptability (hidden ability)']",20,150,244,15,31,141,20,40,152,10,22,130,55,103,229,80,148,284,Water,/content/Pokemon Images DB/Pokemon Images DB/Feebas/Feebas.png
Fennekin,['Fire'],0.4,9.4,"['Blaze, Magician (hidden ability)']",40,190,284,45,85,207,40,76,196,62,116,245,60,112,240,60,112,240,Fire,/content/Pokemon Images DB/Pokemon Images DB/Fennekin/Fennekin.png
Feraligatr,['Water'],2.3,88.8,"['Torrent, Sheer Force (hidden ability)']",85,280,374,105,193,339,100,184,328,79,146,282,83,153,291,78,144,280,Water,/content/Pokemon Images DB/Pokemon Images DB/Feraligatr/Feraligatr.png
Ferroseed,"['Grass', 'Steel']",0.6,18.8,['Iron Barbs'],44,198,292,50,94,218,91,168,309,24,47,161,86,159,298,10,22,130,Grass,/content/Pokemon Images DB/Pokemon Images DB/Ferroseed/Ferroseed.png
Ferrothorn,"['Grass', 'Steel']",1.0,110.0,"['Iron Barbs, Anticipation (hidden ability)']",74,258,352,94,173,315,131,240,397,54,101,227,116,213,364,20,40,152,Grass,/content/Pokemon Images DB/Pokemon Images DB/Ferrothorn/Ferrothorn.png
Fezandipiti,"['Poison', 'Fairy']",1.4,30.1,"['Toxic Chain, Technician (hidden ability)']",88,286,380,91,168,309,82,152,289,70,130,262,125,229,383,99,182,326,Poison,/content/Pokemon Images DB/Pokemon Images DB/Fezandipiti/Fezandipiti.png
Fidough,['Fairy'],0.3,10.9,"['Own Tempo, Klutz (hidden ability)']",37,184,278,55,103,229,70,130,262,30,58,174,55,103,229,65,121,251,Fairy,/content/Pokemon Images DB/Pokemon Images DB/Fidough/Fidough.png
Finizen,['Water'],1.3,60.2,['Water Veil'],70,250,344,45,85,207,40,76,196,45,85,207,40,76,196,75,139,273,Water,/content/Pokemon Images DB/Pokemon Images DB/Finizen/Finizen.png
Finneon,['Water'],0.4,7.0,"['Swift Swim', 'Storm Drain, Water Veil (hidden ability)']",49,208,302,49,92,216,56,105,232,49,92,216,61,114,243,66,123,254,Water,/content/Pokemon Images DB/Pokemon Images DB/Finneon/Finneon.png
Flaaffy,['Electric'],0.8,13.3,"['Static, Plus (hidden ability)']",70,250,344,55,103,229,55,103,229,80,148,284,60,112,240,45,85,207,Electric,/content/Pokemon Images DB/Pokemon Images DB/Flaaffy/Flaaffy.png
Flabébé,['Fairy'],0.1,0.1,"['Flower Veil, Symbiosis (hidden ability)']",44,198,292,38,72,192,39,74,194,61,114,243,79,146,282,42,80,201,Fairy,/content/Pokemon Images DB/Pokemon Images DB/Flabébé/Flabébé.png
Flamigo,"['Flying', 'Fighting']",1.6,37.0,"['Scrappy', 'Tangled Feet, Costar (hidden ability)']",82,274,368,115,211,361,74,137,271,75,139,273,64,119,249,90,166,306,Flying,/content/Pokemon Images DB/Pokemon Images DB/Flamigo/Flamigo.png
Flapple,"['Grass', 'Dragon']",0.3,1.0,"['Ripen', 'Gluttony, Hustle (hidden ability)']",70,250,344,110,202,350,80,148,284,95,175,317,60,112,240,70,130,262,Grass,/content/Pokemon Images DB/Pokemon Images DB/Flapple/Flapple.png
Flareon,['Fire'],0.9,25.0,"['Flash Fire, Guts (hidden ability)']",65,240,334,130,238,394,60,112,240,95,175,317,110,202,350,65,121,251,Fire,/content/Pokemon Images DB/Pokemon Images DB/Flareon/Flareon.png
Fletchinder,"['Fire', 'Flying']",0.7,16.0,"['Flame Body, Gale Wings (hidden ability)']",62,234,328,73,135,269,55,103,229,56,105,232,52,98,223,84,155,293,Fire,/content/Pokemon Images DB/Pokemon Images DB/Fletchinder/Fletchinder.png
Fletchling,"['Normal', 'Flying']",0.3,1.7,"['Big Pecks, Gale Wings (hidden ability)']",45,200,294,50,94,218,43,81,203,40,76,196,38,72,192,62,116,245,Normal,/content/Pokemon Images DB/Pokemon Images DB/Fletchling/Fletchling.png
Flittle,['Psychic'],0.2,1.5,"['Anticipation', 'Frisk, Speed Boost (hidden ability)']",30,170,264,35,67,185,30,58,174,55,103,229,30,58,174,75,139,273,Psychic,/content/Pokemon Images DB/Pokemon Images DB/Flittle/Flittle.png
Floatzel,['Water'],1.1,33.5,"['Swift Swim, Water Veil (hidden ability)']",85,280,374,105,193,339,55,103,229,85,157,295,50,94,218,115,211,361,Water,/content/Pokemon Images DB/Pokemon Images DB/Floatzel/Floatzel.png
Floette,['Fairy'],0.2,0.9,"['Flower Veil, Symbiosis (hidden ability)']",54,218,312,45,85,207,47,89,212,75,139,273,98,180,324,52,98,223,Fairy,/content/Pokemon Images DB/Pokemon Images DB/Floette/Floette.png
Floragato,['Grass'],0.9,12.2,"['Overgrow, Protean (hidden ability)']",61,232,326,80,148,284,63,117,247,60,112,240,63,117,247,83,153,291,Grass,/content/Pokemon Images DB/Pokemon Images DB/Floragato/Floragato.png
Florges,['Fairy'],1.1,10.0,"['Flower Veil, Symbiosis (hidden ability)']",78,266,360,65,121,251,68,126,258,112,206,355,154,281,447,75,139,273,Fairy,/content/Pokemon Images DB/Pokemon Images DB/Florges/Florges.png
Flutter Mane,"['Ghost', 'Fairy']",1.4,4.0,['Protosynthesis'],55,220,314,55,103,229,55,103,229,135,247,405,135,247,405,135,247,405,Ghost,/content/Pokemon Images DB/Pokemon Images DB/Flutter Mane/Flutter Mane.png
Flygon,"['Ground', 'Dragon']",2.0,82.0,['Levitate'],80,270,364,100,184,328,80,148,284,80,148,284,80,148,284,100,184,328,Ground,/content/Pokemon Images DB/Pokemon Images DB/Flygon/Flygon.png
Fomantis,['Grass'],0.3,1.5,"['Leaf Guard, Contrary (hidden ability)']",40,190,284,55,103,229,35,67,185,50,94,218,35,67,185,35,67,185,Grass,/content/Pokemon Images DB/Pokemon Images DB/Fomantis/Fomantis.png
Foongus,"['Grass', 'Poison']",0.2,1.0,"['Effect Spore, Regenerator (hidden ability)']",69,248,342,55,103,229,45,85,207,55,103,229,55,103,229,15,31,141,Grass,/content/Pokemon Images DB/Pokemon Images DB/Foongus/Foongus.png
Forretress,"['Bug', 'Steel']",1.2,125.8,"['Sturdy, Overcoat (hidden ability)']",75,260,354,90,166,306,140,256,416,60,112,240,60,112,240,40,76,196,Bug,/content/Pokemon Images DB/Pokemon Images DB/Forretress/Forretress.png
Fraxure,['Dragon'],1.0,36.0,"['Rivalry', 'Mold Breaker, Unnerve (hidden ability)']",66,242,336,117,215,366,70,130,262,40,76,196,50,94,218,67,125,256,Dragon,/content/Pokemon Images DB/Pokemon Images DB/Fraxure/Fraxure.png
Frigibax,"['Dragon', 'Ice']",0.5,17.0,"['Thermal Exchange, Ice Body (hidden ability)']",65,240,334,75,139,273,45,85,207,35,67,185,45,85,207,55,103,229,Dragon,/content/Pokemon Images DB/Pokemon Images DB/Frigibax/Frigibax.png
Frillish,"['Water', 'Ghost']",1.2,33.0,"['Water Absorb', 'Cursed Body, Damp (hidden ability)']",55,220,314,40,76,196,50,94,218,65,121,251,85,157,295,40,76,196,Water,/content/Pokemon Images DB/Pokemon Images DB/Frillish/Frillish.png
Froakie,['Water'],0.3,7.0,"['Torrent, Protean (hidden ability)']",41,192,286,56,105,232,40,76,196,62,116,245,44,83,205,71,132,265,Water,/content/Pokemon Images DB/Pokemon Images DB/Froakie/Froakie.png
Frogadier,['Water'],0.6,10.9,"['Torrent, Protean (hidden ability)']",54,218,312,63,117,247,52,98,223,83,153,291,56,105,232,97,179,322,Water,/content/Pokemon Images DB/Pokemon Images DB/Frogadier/Frogadier.png
Froslass,"['Ice', 'Ghost']",1.3,26.6,"['Snow Cloak, Cursed Body (hidden ability)']",70,250,344,80,148,284,70,130,262,80,148,284,70,130,262,110,202,350,Ice,/content/Pokemon Images DB/Pokemon Images DB/Froslass/Froslass.png
Frosmoth,"['Ice', 'Bug']",1.3,42.0,"['Shield Dust, Ice Scales (hidden ability)']",70,250,344,65,121,251,60,112,240,125,229,383,90,166,306,65,121,251,Ice,/content/Pokemon Images DB/Pokemon Images DB/Frosmoth/Frosmoth.png
Fuecoco,['Fire'],0.4,9.8,"['Blaze, Unaware (hidden ability)']",67,244,338,45,85,207,59,110,238,63,117,247,40,76,196,36,69,188,Fire,/content/Pokemon Images DB/Pokemon Images DB/Fuecoco/Fuecoco.png
Furfrou,['Normal'],1.2,28.0,['Fur Coat'],75,260,354,80,148,284,60,112,240,65,121,251,90,166,306,102,188,333,Normal,/content/Pokemon Images DB/Pokemon Images DB/Furfrou/Furfrou.png
Furret,['Normal'],1.8,32.5,"['Run Away', 'Keen Eye, Frisk (hidden ability)']",85,280,374,76,141,276,64,119,249,45,85,207,55,103,229,90,166,306,Normal,/content/Pokemon Images DB/Pokemon Images DB/Furret/Furret.png
Gabite,"['Dragon', 'Ground']",1.4,56.0,"['Sand Veil, Rough Skin (hidden ability)']",68,246,340,90,166,306,65,121,251,50,94,218,55,103,229,82,152,289,Dragon,/content/Pokemon Images DB/Pokemon Images DB/Gabite/Gabite.png
Gallade,"['Psychic', 'Fighting']",1.6,52.0,"['Steadfast', 'Sharpness, Justified (hidden ability)']",68,246,340,125,229,383,65,121,251,65,121,251,115,211,361,80,148,284,Psychic,/content/Pokemon Images DB/Pokemon Images DB/Gallade/Gallade.png
Mega Gallade,"['Psychic', 'Fighting']",1.6,56.4,['Inner Focus'],68,246,340,165,301,471,95,175,317,65,121,251,115,211,361,110,202,350,Psychic,/content/Pokemon Images DB/Pokemon Images DB/Mega Gallade/Mega Gallade.png
Galvantula,"['Bug', 'Electric']",0.8,14.3,"['Compound Eyes', 'Unnerve, Swarm (hidden ability)']",70,250,344,77,143,278,60,112,240,97,179,322,60,112,240,108,198,346,Bug,/content/Pokemon Images DB/Pokemon Images DB/Galvantula/Galvantula.png
Garbodor,['Poison'],1.9,107.3,"['Stench', 'Weak Armor, Aftermath (hidden ability)']",80,270,364,95,175,317,82,152,289,60,112,240,82,152,289,75,139,273,Poison,/content/Pokemon Images DB/Pokemon Images DB/Garbodor/Garbodor.png
Garchomp,"['Dragon', 'Ground']",1.9,95.0,"['Sand Veil, Rough Skin (hidden ability)']",108,326,420,130,238,394,95,175,317,80,148,284,85,157,295,102,188,333,Dragon,/content/Pokemon Images DB/Pokemon Images DB/Garchomp/Garchomp.png
Mega Garchomp,"['Dragon', 'Ground']",1.9,95.0,['Sand Force'],108,326,420,170,310,482,115,211,361,120,220,372,95,175,317,92,170,311,Dragon,/content/Pokemon Images DB/Pokemon Images DB/Mega Garchomp/Mega Garchomp.png
Gardevoir,"['Psychic', 'Fairy']",1.6,48.4,"['Synchronize', 'Trace, Telepathy (hidden ability)']",68,246,340,65,121,251,65,121,251,125,229,383,115,211,361,80,148,284,Psychic,/content/Pokemon Images DB/Pokemon Images DB/Gardevoir/Gardevoir.png
Mega Gardevoir,"['Psychic', 'Fairy']",1.6,48.4,['Pixilate'],68,246,340,85,157,295,65,121,251,165,301,471,135,247,405,100,184,328,Psychic,/content/Pokemon Images DB/Pokemon Images DB/Mega Gardevoir/Mega Gardevoir.png
Garganacl,['Rock'],2.3,240.0,"['Purifying Salt', 'Sturdy, Clear Body (hidden ability)']",100,310,404,100,184,328,130,238,394,45,85,207,90,166,306,35,67,185,Rock,/content/Pokemon Images DB/Pokemon Images DB/Garganacl/Garganacl.png
Gastly,"['Ghost', 'Poison']",1.3,0.1,['Levitate'],30,170,264,35,67,185,30,58,174,100,184,328,35,67,185,80,148,284,Ghost,/content/Pokemon Images DB/Pokemon Images DB/Gastly/Gastly.png
Gastrodon,"['Water', 'Ground']",0.9,29.9,"['Sticky Hold', 'Storm Drain, Sand Force (hidden ability)']",111,332,426,83,153,291,68,126,258,92,170,311,82,152,289,39,74,194,Water,/content/Pokemon Images DB/Pokemon Images DB/Gastrodon/Gastrodon.png
Genesect,"['Bug', 'Steel']",1.5,82.5,['Download'],71,252,346,120,220,372,95,175,317,120,220,372,95,175,317,99,182,326,Bug,/content/Pokemon Images DB/Pokemon Images DB/Genesect/Genesect.png
Gengar,"['Ghost', 'Poison']",1.5,40.5,['Cursed Body'],60,230,324,65,121,251,60,112,240,130,238,394,75,139,273,110,202,350,Ghost,/content/Pokemon Images DB/Pokemon Images DB/Gengar/Gengar.png
Mega Gengar,"['Ghost', 'Poison']",1.4,40.5,['Shadow Tag'],60,230,324,65,121,251,80,148,284,170,310,482,95,175,317,130,238,394,Ghost,/content/Pokemon Images DB/Pokemon Images DB/Mega Gengar/Mega Gengar.png
Geodude,"['Rock', 'Ground']",0.4,20.0,"['Rock Head', 'Sturdy, Sand Veil (hidden ability)']",40,190,284,80,148,284,100,184,328,30,58,174,30,58,174,20,40,152,Rock,/content/Pokemon Images DB/Pokemon Images DB/Geodude/Geodude.png
Alolan Geodude,"['Rock', 'Electric']",0.4,20.3,"['Magnet Pull', 'Sturdy, Galvanize (hidden ability)']",40,190,284,80,148,284,100,184,328,30,58,174,30,58,174,20,40,152,Rock,/content/Pokemon Images DB/Pokemon Images DB/Alolan Geodude/Alolan Geodude.png
Gholdengo,"['Steel', 'Ghost']",1.2,30.0,['Good as Gold'],87,284,378,60,112,240,95,175,317,133,243,401,91,168,309,84,155,293,Steel,/content/Pokemon Images DB/Pokemon Images DB/Gholdengo/Gholdengo.png
Gible,"['Dragon', 'Ground']",0.7,20.5,"['Sand Veil, Rough Skin (hidden ability)']",58,226,320,70,130,262,45,85,207,40,76,196,45,85,207,42,80,201,Dragon,/content/Pokemon Images DB/Pokemon Images DB/Gible/Gible.png
Gigalith,['Rock'],1.7,260.0,"['Sturdy', 'Sand Stream, Sand Force (hidden ability)']",85,280,374,135,247,405,130,238,394,60,112,240,80,148,284,25,49,163,Rock,/content/Pokemon Images DB/Pokemon Images DB/Gigalith/Gigalith.png
Gimmighoul Chest Form,['Ghost'],0.3,5.0,['Rattled'],45,200,294,30,58,174,70,130,262,75,139,273,70,130,262,10,22,130,Ghost,/content/Pokemon Images DB/Pokemon Images DB/Gimmighoul (Chest Form)/Gimmighoul (Chest Form).png
Gimmighoul Roaming Form,['Ghost'],0.1,0.1,['Run Away'],45,200,294,30,58,174,25,49,163,75,139,273,45,85,207,80,148,284,Ghost,/content/Pokemon Images DB/Pokemon Images DB/Gimmighoul (Roaming Form)/Gimmighoul (Roaming Form).png
Girafarig,"['Normal', 'Psychic']",1.5,41.5,"['Inner Focus', 'Early Bird, Sap Sipper (hidden ability)']",70,250,344,80,148,284,65,121,251,90,166,306,65,121,251,85,157,295,Normal,/content/Pokemon Images DB/Pokemon Images DB/Girafarig/Girafarig.png
Giratina Altered Forme,"['Ghost', 'Dragon']",4.5,750.0,"['Pressure, Telepathy (hidden ability)']",150,410,504,100,184,328,120,220,372,100,184,328,120,220,372,90,166,306,Ghost,/content/Pokemon Images DB/Pokemon Images DB/Giratina (Altered Forme)/Giratina (Altered Forme).png
Giratina Origin Forme,"['Ghost', 'Dragon']",6.9,650.0,['Levitate'],150,410,504,120,220,372,100,184,328,120,220,372,100,184,328,90,166,306,Ghost,/content/Pokemon Images DB/Pokemon Images DB/Giratina (Origin Forme)/Giratina (Origin Forme).png
Glaceon,['Ice'],0.8,25.9,"['Snow Cloak, Ice Body (hidden ability)']",65,240,334,60,112,240,110,202,350,130,238,394,95,175,317,65,121,251,Ice,/content/Pokemon Images DB/Pokemon Images DB/Glaceon/Glaceon.png
Glalie,['Ice'],1.5,256.5,"['Inner Focus', 'Ice Body, Moody (hidden ability)']",80,270,364,80,148,284,80,148,284,80,148,284,80,148,284,80,148,284,Ice,/content/Pokemon Images DB/Pokemon Images DB/Glalie/Glalie.png
Mega Glalie,['Ice'],2.1,350.2,['Refrigerate'],80,270,364,120,220,372,80,148,284,120,220,372,80,148,284,100,184,328,Ice,/content/Pokemon Images DB/Pokemon Images DB/Mega Glalie/Mega Glalie.png
Glameow,['Normal'],0.5,3.9,"['Limber', 'Own Tempo, Keen Eye (hidden ability)']",49,208,302,55,103,229,42,80,201,42,80,201,37,71,190,85,157,295,Normal,/content/Pokemon Images DB/Pokemon Images DB/Glameow/Glameow.png
Glastrier,['Ice'],2.2,800.0,['Chilling Neigh'],100,310,404,145,265,427,130,238,394,65,121,251,110,202,350,30,58,174,Ice,/content/Pokemon Images DB/Pokemon Images DB/Glastrier/Glastrier.png
Gligar,"['Ground', 'Flying']",1.1,64.8,"['Hyper Cutter', 'Sand Veil, Immunity (hidden ability)']",65,240,334,75,139,273,105,193,339,35,67,185,65,121,251,85,157,295,Ground,/content/Pokemon Images DB/Pokemon Images DB/Gligar/Gligar.png
Glimmet,"['Rock', 'Poison']",0.7,8.0,"['Toxic Debris, Corrosion (hidden ability)']",48,206,300,35,67,185,42,80,201,105,193,339,60,112,240,60,112,240,Rock,/content/Pokemon Images DB/Pokemon Images DB/Glimmet/Glimmet.png
Glimmora,"['Rock', 'Poison']",1.5,45.0,"['Toxic Debris, Corrosion (hidden ability)']",83,276,370,55,103,229,90,166,306,130,238,394,81,150,287,86,159,298,Rock,/content/Pokemon Images DB/Pokemon Images DB/Glimmora/Glimmora.png
Gliscor,"['Ground', 'Flying']",2.0,42.5,"['Hyper Cutter', 'Sand Veil, Poison Heal (hidden ability)']",75,260,354,95,175,317,125,229,383,45,85,207,75,139,273,95,175,317,Ground,/content/Pokemon Images DB/Pokemon Images DB/Gliscor/Gliscor.png
Gloom,"['Grass', 'Poison']",0.8,8.6,"['Chlorophyll, Stench (hidden ability)']",60,230,324,65,121,251,70,130,262,85,157,295,75,139,273,40,76,196,Grass,/content/Pokemon Images DB/Pokemon Images DB/Gloom/Gloom.png
